game_id,date,season,week,home_team,away_team,home_score,away_score,neutral_site,home_rating_pre,away_rating_pre,home_rating_post,away_rating_post,rating_diff,expected_home_win_prob,actual_home_result,margin
2023_02_CHI_TB,2023-09-17,2023,2,TB,CHI,27.0,17.0,False,1503.188262250573,1488.8246814264887,1508.2719824567555,1483.7409612203062,69.36358082408424,0.5985167910247635,1.0,10.0
2023_02_LAC_TEN,2023-09-17,2023,2,TEN,LAC,27.0,24.0,False,1498.923363352094,1497.599563865255,1501.2338108373922,1495.2891163799568,56.32379948683888,0.5803537781918403,1.0,3.0
2023_02_NO_CAR,2023-09-18,2023,2,CAR,NO,17.0,20.0,False,1493.1709737238164,1501.076636647906,1490.025019364538,1504.2225910071845,47.09433707591029,0.56736214701551,0.0,-3.0
2023_02_CLE_PIT,2023-09-18,2023,2,PIT,CLE,26.0,22.0,False,1486.7328193091503,1509.0703211676325,1489.8404822821353,1505.9626581946475,32.662498141517744,0.5468671252630629,1.0,4.0
2023_03_NYG_SF,2023-09-21,2023,3,SF,NYG,30.0,12.0,False,1519.0123548532886,1483.7305996983164,1526.0267605135562,1476.7161940380488,90.28175515497219,0.6270784458741395,1.0,18.0
2023_03_DAL_ARI,2023-09-24,2023,3,ARI,DAL,28.0,16.0,False,1493.8842427135291,1527.753682946473,1500.8966890288568,1520.7412366311453,21.130559767056184,0.5303718815969151,1.0,12.0
2023_03_IND_BAL,2023-09-24,2023,3,BAL,IND,19.0,22.0,False,1510.5966949989725,1500.5097311041452,1507.3558270115705,1503.7505990915472,65.08696389482725,0.5925870959222933,0.0,-3.0
2023_03_TEN_CLE,2023-09-24,2023,3,CLE,TEN,27.0,3.0,False,1505.9626581946475,1501.2338108373922,1515.7298093985444,1491.4666596334953,59.72884735725529,0.5851198182388556,1.0,24.0
2023_03_ATL_DET,2023-09-24,2023,3,DET,ATL,20.0,6.0,False,1496.1951416085194,1507.9249254271838,1503.3566071764158,1500.7634598592874,43.27021618133563,0.5619508783120726,1.0,14.0
2023_03_NO_GB,2023-09-24,2023,3,GB,NO,18.0,17.0,False,1510.0794194225111,1504.2225910071845,1511.1303981904894,1503.1716122392063,60.85682841532662,0.5866951916428216,1.0,1.0
